asset_id,files,author_or_provider,source_url,license_or_terms,terms_file,attribution_required,modifications,creation_method,generation_tool,generation_date,prompt_or_parameters,status
hit_sfx,assets/audio/hit.wav,project,,original project asset,,no,none,procedural synthesis,tools/generate_audio.ps1,2026-09-23,PCM16 mono 22050 Hz,INTERNAL_PROTOTYPE
absorb_sfx,assets/audio/absorb.wav,project,,original project asset,,no,none,procedural synthesis,tools/generate_audio.ps1,2026-09-23,PCM16 mono 22050 Hz,INTERNAL_PROTOTYPE
cast_sfx,assets/audio/cast.wav,project,,original project asset,,no,none,procedural synthesis,tools/generate_audio.ps1,2026-09-23,PCM16 mono 22050 Hz,INTERNAL_PROTOTYPE
whip_sfx,assets/audio/whip.wav,project,,original project asset,,no,none,procedural synthesis,tools/generate_audio.ps1,2026-09-23,PCM16 mono 22050 Hz; 0.22 s; seed 230924,INTERNAL_PROTOTYPE
player_spit_sfx,assets/audio/player_spit.wav,project,,original project asset,,no,none,procedural synthesis,tools/generate_audio.ps1,2026-09-23,PCM16 mono 22050 Hz; 0.27 s; seed 230925,INTERNAL_PROTOTYPE
enemy_charge_sfx,assets/audio/enemy_charge.wav,project,,original project asset,,no,none,procedural synthesis,tools/generate_audio.ps1,2026-09-23,PCM16 mono 22050 Hz; 0.64 s; seed 230926,INTERNAL_PROTOTYPE
enemy_spit_sfx,assets/audio/enemy_spit.wav,project,,original project asset,,no,none,procedural synthesis,tools/generate_audio.ps1,2026-09-23,PCM16 mono 22050 Hz; 0.30 s; seed 230927,INTERNAL_PROTOTYPE
r07_slate_v1,assets/art/r07_review/slate_albedo_candidate_v1.png,OpenAI image_gen,,OpenAI Terms of Use,docs/asset_terms/openai_imagegen_2026-09-24.md,no,none,generative raster,image_gen,2026-09-24,docs/art_prompts/r07_generated_v1.md,REVIEW_REQUIRED
r07_guardian_v1,assets/art/r07_review/guardian_cutout_candidate_v1.png,OpenAI image_gen,,OpenAI Terms of Use,docs/asset_terms/openai_imagegen_2026-09-24.md,no,none,generative raster,image_gen,2026-09-24,docs/art_prompts/r07_generated_v1.md,REJECTED
slime_front_v1,assets/art/slime_review/slime_front_candidate_v1.png,OpenAI image_gen,,OpenAI Terms of Use,docs/asset_terms/openai_imagegen_2026-09-24.md,no,none,generative raster,image_gen,2026-09-24,docs/art_prompts/slime_hero_v1.md,SUPERSEDED
slime_back_v1,assets/art/slime_review/slime_back_candidate_v1.png,OpenAI image_gen,,OpenAI Terms of Use,docs/asset_terms/openai_imagegen_2026-09-24.md,no,none,generative raster,image_gen,2026-09-24,docs/art_prompts/slime_hero_v1.md,REVIEW_REQUIRED
slime_side_v1,assets/art/slime_review/slime_side_candidate_v1.png,OpenAI image_gen,,OpenAI Terms of Use,docs/asset_terms/openai_imagegen_2026-09-24.md,no,none,generative raster,image_gen,2026-09-24,docs/art_prompts/slime_hero_v1.md,SUPERSEDED
slime_eyes_ref,docs/art_refs/slime_eyes_user_reference.png,user attachment,,user-provided reference; origin unknown,,unknown,none,reference image,,2026-09-24,eye direction only,REFERENCE_ONLY
slime_front_v2,assets/art/slime_review/slime_front_candidate_v2.png,OpenAI image_gen,,OpenAI Terms of Use,docs/asset_terms/openai_imagegen_2026-09-24.md,no,eye redesign from user reference,generative edit,image_gen,2026-09-24,docs/art_prompts/slime_eyes_v2.md,REVIEW_REQUIRED
slime_side_v2,assets/art/slime_review/slime_side_candidate_v2.png,OpenAI image_gen,,OpenAI Terms of Use,docs/asset_terms/openai_imagegen_2026-09-24.md,no,eye redesign from user reference,generative edit,image_gen,2026-09-24,docs/art_prompts/slime_eyes_v2.md,REVIEW_REQUIRED
slime_hero_model_v1,assets/models/slime_hero_v1.res,project,,original project asset,,no,none,authored procedural 3D mesh,tools/generate_slime_model.gd,2026-09-24,superquadric gel body with curved eyes from user direction,INTERNAL_PROTOTYPE
slime_hero_model_v2,assets/models/slime_hero_v2.res,project,,original project asset,,no,modified from own v1 mesh,authored procedural 3D mesh,tools/generate_slime_model_v2.gd,2026-09-24,softer gel body and animated material,INTERNAL_PROTOTYPE
slime_hero_model_v3,assets/models/slime_hero_v3.res,project,,original project asset,,no,modified from own v2 mesh,authored procedural 3D mesh,tools/generate_slime_model_v3.gd,2026-09-24,lit gel body with thin alpha skin and shared vertex deformation,INTERNAL_PROTOTYPE
slime_hero_model_v5,assets/models/slime_hero_v5.res,project,,original project asset,,no,modified from own v3 mesh,authored procedural 3D mesh,tools/generate_slime_model_v5.gd,2026-09-24,rounded cube body with alternating lower contact and reference-inspired eyes fitted into gel shell,APPROVED_S5
